日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2019/10/09 06:00:00,107.076,107.078,107.063,107.063,107.1,107.102,107.087,107.087
2019/10/09 06:01:00,107.063,107.063,107.06,107.06,107.087,107.087,107.084,107.084
2019/10/09 06:02:00,107.06,107.061,107.06,107.061,107.084,107.085,107.084,107.085
2019/10/09 06:03:00,107.061,107.063,107.061,107.063,107.085,107.087,107.085,107.087
2019/10/09 06:04:00,107.063,107.063,107.063,107.063,107.087,107.087,107.087,107.087
2019/10/09 06:05:00,107.063,107.084,107.054,107.083,107.087,107.108,107.087,107.107
2019/10/09 06:06:00,107.083,107.083,107.06,107.071,107.107,107.11,107.1,107.103
2019/10/09 06:07:00,107.071,107.071,107.057,107.057,107.103,107.108,107.081,107.089
2019/10/09 06:08:00,107.057,107.058,107.057,107.057,107.089,107.09,107.089,107.089
2019/10/09 06:09:00,107.057,107.058,107.056,107.056,107.089,107.09,107.081,107.088
2019/10/09 06:10:00,107.056,107.057,107.056,107.057,107.088,107.089,107.088,107.089
2019/10/09 06:11:00,107.057,107.057,107.056,107.057,107.089,107.089,107.088,107.089
2019/10/09 06:12:00,107.057,107.057,107.056,107.056,107.089,107.089,107.088,107.088
2019/10/09 06:13:00,107.056,107.062,107.056,107.061,107.088,107.089,107.085,107.085
2019/10/09 06:14:00,107.061,107.062,107.061,107.061,107.085,107.086,107.085,107.085
2019/10/09 06:15:00,107.061,107.062,107.056,107.056,107.085,107.088,107.085,107.088
2019/10/09 06:16:00,107.056,107.059,107.056,107.057,107.088,107.089,107.08,107.081
2019/10/09 06:17:00,107.057,107.061,107.056,107.059,107.081,107.088,107.081,107.083
2019/10/09 06:18:00,107.059,107.062,107.056,107.057,107.083,107.089,107.083,107.089
2019/10/09 06:19:00,107.057,107.057,107.056,107.056,107.089,107.089,107.088,107.088
2019/10/09 06:20:00,107.056,107.056,107.042,107.044,107.088,107.088,107.066,107.068
2019/10/09 06:21:00,107.044,107.044,107.043,107.043,107.068,107.068,107.067,107.067
2019/10/09 06:22:00,107.043,107.044,107.043,107.043,107.067,107.068,107.067,107.067
2019/10/09 06:23:00,107.043,107.044,107.043,107.044,107.067,107.068,107.067,107.068
2019/10/09 06:24:00,107.044,107.044,107.042,107.043,107.068,107.068,107.066,107.067
2019/10/09 06:25:00,107.043,107.045,107.042,107.044,107.067,107.069,107.066,107.068
2019/10/09 06:26:00,107.044,107.045,107.043,107.044,107.068,107.069,107.067,107.068
2019/10/09 06:27:00,107.044,107.046,107.044,107.046,107.068,107.07,107.068,107.07
2019/10/09 06:28:00,107.046,107.047,107.045,107.046,107.07,107.071,107.069,107.07
2019/10/09 06:29:00,107.046,107.066,107.046,107.046,107.07,107.09,107.07,107.07
2019/10/09 06:30:00,107.046,107.081,107.046,107.067,107.07,107.093,107.06,107.091
2019/10/09 06:31:00,107.067,107.071,107.06,107.061,107.091,107.092,107.073,107.085
2019/10/09 06:32:00,107.061,107.071,107.059,107.068,107.085,107.086,107.071,107.071
2019/10/09 06:33:00,107.068,107.07,107.059,107.06,107.071,107.085,107.071,107.084
2019/10/09 06:34:00,107.06,107.071,107.058,107.06,107.084,107.085,107.071,107.084
2019/10/09 06:35:00,107.06,107.07,107.059,107.061,107.084,107.088,107.072,107.085
2019/10/09 06:36:00,107.061,107.071,107.059,107.071,107.085,107.086,107.072,107.074
2019/10/09 06:37:00,107.071,107.072,107.069,107.07,107.074,107.075,107.072,107.073
2019/10/09 06:38:00,107.07,107.086,107.07,107.08,107.073,107.089,107.073,107.083
2019/10/09 06:39:00,107.08,107.082,107.075,107.076,107.083,107.085,107.078,107.079
2019/10/09 06:40:00,107.076,107.076,107.056,107.057,107.079,107.079,107.059,107.06
2019/10/09 06:41:00,107.057,107.065,107.056,107.063,107.06,107.068,107.059,107.066
2019/10/09 06:42:00,107.063,107.064,107.052,107.063,107.066,107.078,107.064,107.066
2019/10/09 06:43:00,107.063,107.063,107.063,107.063,107.066,107.066,107.066,107.066
2019/10/09 06:44:00,107.063,107.063,107.062,107.063,107.066,107.066,107.065,107.066
2019/10/09 06:45:00,107.063,107.064,107.062,107.064,107.066,107.067,107.065,107.067
2019/10/09 06:46:00,107.064,107.07,107.06,107.06,107.067,107.085,107.067,107.084
2019/10/09 06:47:00,107.06,107.069,107.059,107.061,107.084,107.085,107.072,107.085
2019/10/09 06:48:00,107.061,107.061,107.061,107.061,107.085,107.085,107.085,107.085
2019/10/09 06:49:00,107.061,107.062,107.061,107.062,107.085,107.086,107.085,107.086
2019/10/09 06:50:00,107.062,107.068,107.058,107.068,107.086,107.086,107.071,107.071
2019/10/09 06:51:00,107.068,107.068,107.057,107.066,107.071,107.085,107.069,107.069
2019/10/09 06:52:00,107.066,107.069,107.06,107.06,107.069,107.084,107.069,107.084
2019/10/09 06:53:00,107.06,107.07,107.06,107.062,107.084,107.086,107.073,107.086
2019/10/09 06:54:00,107.062,107.069,107.059,107.068,107.086,107.086,107.069,107.071
2019/10/09 06:55:00,107.068,107.068,107.059,107.06,107.071,107.084,107.069,107.084
2019/10/09 06:56:00,107.06,107.069,107.059,107.061,107.084,107.085,107.072,107.085
2019/10/09 06:57:00,107.061,107.07,107.059,107.07,107.085,107.085,107.072,107.073
2019/10/09 06:58:00,107.07,107.07,107.06,107.06,107.073,107.084,107.073,107.084
2019/10/09 06:59:00,107.06,107.068,107.058,107.068,107.084,107.084,107.071,107.071
2019/10/09 07:00:00,107.068,107.068,107.058,107.058,107.071,107.075,107.061,107.061
2019/10/09 07:01:00,107.058,107.067,107.056,107.066,107.061,107.073,107.059,107.073
2019/10/09 07:02:00,107.066,107.07,107.05,107.051,107.073,107.073,107.053,107.054
2019/10/09 07:03:00,107.051,107.053,107.047,107.047,107.054,107.056,107.05,107.05
2019/10/09 07:04:00,107.047,107.051,107.042,107.044,107.05,107.055,107.049,107.051
2019/10/09 07:05:00,107.044,107.052,107.041,107.052,107.051,107.059,107.047,107.059
2019/10/09 07:06:00,107.052,107.057,107.052,107.057,107.059,107.064,107.058,107.064
2019/10/09 07:07:00,107.057,107.064,107.057,107.06,107.064,107.067,107.063,107.063
2019/10/09 07:08:00,107.06,107.061,107.058,107.058,107.063,107.064,107.061,107.061
2019/10/09 07:09:00,107.058,107.063,107.058,107.063,107.061,107.066,107.061,107.066
2019/10/09 07:10:00,107.063,107.063,107.06,107.063,107.066,107.066,107.063,107.066
2019/10/09 07:11:00,107.063,107.064,107.062,107.064,107.066,107.067,107.065,107.067
2019/10/09 07:12:00,107.064,107.069,107.064,107.067,107.067,107.072,107.067,107.07
2019/10/09 07:13:00,107.067,107.071,107.066,107.067,107.07,107.074,107.069,107.07
2019/10/09 07:14:00,107.067,107.072,107.067,107.069,107.07,107.075,107.07,107.072
2019/10/09 07:15:00,107.069,107.07,107.069,107.069,107.072,107.073,107.072,107.072
2019/10/09 07:16:00,107.069,107.069,107.069,107.069,107.072,107.072,107.072,107.072
2019/10/09 07:17:00,107.069,107.07,107.069,107.07,107.072,107.073,107.072,107.073
2019/10/09 07:18:00,107.07,107.075,107.066,107.072,107.073,107.079,107.072,107.075
2019/10/09 07:19:00,107.072,107.072,107.063,107.063,107.075,107.075,107.066,107.066
2019/10/09 07:20:00,107.063,107.064,107.061,107.064,107.066,107.067,107.064,107.067
2019/10/09 07:21:00,107.064,107.064,107.057,107.057,107.067,107.067,107.06,107.06
2019/10/09 07:22:00,107.057,107.063,107.057,107.063,107.06,107.066,107.06,107.066
2019/10/09 07:23:00,107.063,107.064,107.055,107.063,107.066,107.067,107.058,107.066
2019/10/09 07:24:00,107.063,107.063,107.055,107.058,107.066,107.066,107.06,107.061
2019/10/09 07:25:00,107.058,107.058,107.054,107.055,107.061,107.061,107.057,107.058
2019/10/09 07:26:00,107.055,107.059,107.055,107.057,107.058,107.062,107.058,107.06
2019/10/09 07:27:00,107.057,107.06,107.057,107.058,107.06,107.063,107.06,107.061
2019/10/09 07:28:00,107.058,107.058,107.057,107.057,107.061,107.061,107.06,107.06
2019/10/09 07:29:00,107.057,107.057,107.056,107.057,107.06,107.06,107.059,107.06
2019/10/09 07:30:00,107.057,107.06,107.056,107.057,107.06,107.063,107.059,107.06
2019/10/09 07:31:00,107.057,107.057,107.046,107.047,107.06,107.06,107.049,107.05
2019/10/09 07:32:00,107.047,107.047,107.046,107.047,107.05,107.05,107.049,107.05
2019/10/09 07:33:00,107.047,107.047,107.041,107.041,107.05,107.05,107.044,107.044
2019/10/09 07:34:00,107.041,107.044,107.039,107.042,107.044,107.048,107.042,107.045
2019/10/09 07:35:00,107.042,107.042,107.036,107.036,107.045,107.045,107.039,107.039
2019/10/09 07:36:00,107.036,107.043,107.036,107.043,107.039,107.046,107.039,107.046
2019/10/09 07:37:00,107.043,107.047,107.043,107.047,107.046,107.05,107.046,107.05
2019/10/09 07:38:00,107.047,107.047,107.04,107.041,107.05,107.05,107.043,107.044
2019/10/09 07:39:00,107.041,107.045,107.035,107.041,107.044,107.048,107.038,107.044
